dataset,model,dx,label,acc_mean,acc_std,n_folds_seen,n_images
BW,Cosine KNN,DERMATOFIBROMA,BENIGN,0.86,0.21908902300206645,5,21
BW,Cosine KNN,FAT NECROSIS,BENIGN,1.0,,1,1
BW,Cosine KNN,FIBROFOLLICULOMA,BENIGN,1.0,0.0,2,2
BW,Cosine KNN,FIBROMA,BENIGN,1.0,,1,1
BW,Cosine KNN,HEMANGIOMA,BENIGN,0.0,,1,1
BW,Cosine KNN,KA,MALIGNANT,0.0,,1,1
BW,Cosine KNN,LEIOMYOMA,BENIGN,1.0,0.0,2,4
BW,Cosine KNN,LIPOMA,BENIGN,0.9,0.09128709291752768,5,26
BW,Cosine KNN,LYMPHOMA,MALIGNANT,0.75,0.3535533905932738,2,3
BW,Cosine KNN,MERKEL,MALIGNANT,1.0,,1,1
BW,Cosine KNN,METASTASIS,MALIGNANT,0.5,0.5,3,4
BW,Cosine KNN,NEUROFIBROMA,BENIGN,0.5,,1,2
BW,Cosine KNN,OSTEOMA,BENIGN,1.0,,1,1
BW,Cosine KNN,PILOMATRICOMA,BENIGN,0.0,,1,1
BW,Cosine KNN,SCC,MALIGNANT,0.26666666666666666,0.3265986323710904,4,11
BW,Cosine KNN,SCHWANNOMA,BENIGN,1.0,0.0,2,2
BW,Cosine KNN,SEBK,BENIGN,0.7083333333333333,0.34359213546813844,4,7
BW,Cosine KNN,SK,BENIGN,1.0,,1,1
BW,Cosine KNN,VENOUS MALFORMATION,BENIGN,1.0,0.0,2,2
BW,Cubic SVM,AK,MALIGNANT,0.0,0.0,4,5
BW,Cubic SVM,ANGIOMA,BENIGN,1.0,0.0,2,3
BW,Cubic SVM,BCC,MALIGNANT,0.2833333333333333,0.2173067468400883,5,31
BW,Cubic SVM,CYST,BENIGN,1.0,0.0,5,40
BW,Cubic SVM,DERMATOFIBROMA,BENIGN,1.0,0.0,5,21
BW,Cubic SVM,FAT NECROSIS,BENIGN,1.0,,1,1
BW,Cubic SVM,FIBROFOLLICULOMA,BENIGN,1.0,0.0,2,2
BW,Cubic SVM,FIBROMA,BENIGN,1.0,,1,1
BW,Cubic SVM,HEMANGIOMA,BENIGN,0.0,,1,1
BW,Cubic SVM,KA,MALIGNANT,0.0,,1,1
