dataset,model,k_features,auc_mean,auc_std,accuracy_mean,accuracy_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,precision_mean,precision_std,f1_mean,f1_std
BW+Doppler,Quadratic SVM,20,0.6634359903381642,0.09659418100297774,0.6912698412698413,0.03303342024543654,0.2,0.06666666666666667,0.9416666666666668,0.06236095644623236,0.739047619047619,0.22678668291256715,0.29784869413352383,0.08426267609960167
BW+Doppler,Cubic SVM,20,0.763586956521739,0.10337394400824756,0.7138095238095238,0.05570637125534113,0.2833333333333333,0.08498365855987976,0.9329710144927537,0.05636358400762335,0.699047619047619,0.19223945763108777,0.398844169246646,0.11618284605050368
BW+Doppler,Fine Gaussian SVM,20,0.5360658212560387,0.19132733924235074,0.646031746031746,0.0339549002085611,0.016666666666666666,0.03333333333333333,0.9659420289855072,0.04172805811271877,0.2,0.4,0.03076923076923077,0.06153846153846154
BW+Doppler,Medium Gaussian SVM,20,0.8119565217391305,0.048367133865687126,0.7533333333333333,0.06010279260577124,0.4833333333333334,0.062360956446232366,0.8905797101449275,0.06708869256146842,0.7095238095238096,0.15221551866332508,0.5721120984278878,0.08835842007085669
BW+Doppler,Coarse Gaussian SVM,20,0.8035477053140097,0.06678467548289362,0.741904761904762,0.05539068506470668,0.4666666666666667,0.04082482904638629,0.8818840579710144,0.0664279753448997,0.6873015873015873,0.14869890068102054,0.5530644793802688,0.0752089008888053
BW+Doppler,Fine KNN,20,0.6728260869565218,0.04626628586940548,0.7022222222222222,0.057220846250766164,0.5833333333333333,0.05270462766947298,0.7623188405797101,0.08715556928687326,0.5722222222222222,0.10976968031314195,0.5722222222222222,0.05925925925925925
BW+Doppler,Medium KNN,20,0.7898097826086957,0.08271937969619143,0.6915873015873016,0.10472293647542683,0.6000000000000001,0.12247448713915893,0.7380434782608696,0.1394320402412254,0.5665413533834587,0.14393931234170107,0.5718610421836228,0.10998705492654416
BW+Doppler,Coarse KNN,20,0.7532608695652174,0.06815830444813185,0.6628571428571428,0.004665694748158418,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
BW+Doppler,Cosine KNN,20,0.798143115942029,0.0584921083975423,0.7474603174603176,0.06984559871144383,0.65,0.097182531580755,0.7974637681159421,0.11797025780478758,0.6516666666666666,0.14087031072743628,0.6376094276094275,0.07544233701380902
BW+Doppler,Weighted KNN,20,0.7969655797101449,0.08331815875631952,0.7307936507936509,0.0748078920335711,0.5666666666666667,0.14337208778404378,0.8137681159420289,0.09309126724331895,0.6276190476190476,0.14362965730673413,0.5838656470235417,0.10872548888909753
BW+Doppler,Boosted Trees,20,0.7385869565217391,0.10205454032069737,0.7307936507936509,0.06604281042832642,0.5166666666666666,0.14337208778404378,0.8402173913043478,0.10267376958874501,0.6447712418300654,0.1535629573504654,0.560328407224959,0.1100370345611338
BW+Doppler,Bagged Trees,20,0.802536231884058,0.09414376366482025,0.7479365079365079,0.10008386506001593,0.5666666666666667,0.062360956446232345,0.8405797101449275,0.13255621833280232,0.693974358974359,0.21580682062073472,0.613989417989418,0.11906052181694488
BW+Doppler,Subspace Discriminant,20,0.8087560386473429,0.07482133836429845,0.7477777777777778,0.06854754140083194,0.4833333333333334,0.062360956446232366,0.8822463768115943,0.08016995180254685,0.7004329004329004,0.1652563658194914,0.5681595292579275,0.09380342314458529
BW+Doppler,Subspace KNN,20,0.8160628019323672,0.07477058651055257,0.7361904761904763,0.07099089895856957,0.5833333333333334,0.09128709291752769,0.8137681159420289,0.09309126724331895,0.6358857808857808,0.14032800725415312,0.6011424388815694,0.08959093292080468
BW+Doppler,RUSBoosted Trees,20,0.7385869565217391,0.10205454032069737,0.7307936507936509,0.06604281042832642,0.5166666666666666,0.14337208778404378,0.8402173913043478,0.10267376958874501,0.6447712418300654,0.1535629573504654,0.560328407224959,0.1100370345611338
