dataset,model,k_features,auc,accuracy,sensitivity,specificity,precision,f1,tn,fp,fn,tp,fold
BW,Coarse Gaussian SVM,20,0.6388888888888888,0.6388888888888888,0.25,0.8333333333333334,0.42857142857142855,0.3157894736842105,20,4,9,3,1
BW,Coarse Gaussian SVM,20,0.6979166666666666,0.6666666666666666,0.4166666666666667,0.7916666666666666,0.5,0.45454545454545453,19,5,7,5,2
BW,Coarse Gaussian SVM,20,0.681159420289855,0.6857142857142857,0.3333333333333333,0.8695652173913043,0.5714285714285714,0.42105263157894735,20,3,8,4,3
BW,Coarse Gaussian SVM,20,0.7427536231884058,0.6571428571428571,0.16666666666666666,0.9130434782608695,0.5,0.25,21,2,10,2,4
BW,Fine KNN,20,0.6458333333333333,0.6666666666666666,0.5833333333333334,0.7083333333333334,0.5,0.5384615384615384,17,7,5,7,0
BW,Fine KNN,20,0.5625,0.5277777777777778,0.6666666666666666,0.4583333333333333,0.38095238095238093,0.48484848484848486,11,13,4,8,1
BW,Fine KNN,20,0.47916666666666663,0.5277777777777778,0.3333333333333333,0.625,0.3076923076923077,0.32,15,9,8,4,2
BW,Fine KNN,20,0.7028985507246377,0.7142857142857143,0.6666666666666666,0.7391304347826086,0.5714285714285714,0.6153846153846154,17,6,4,8,3
BW,Fine KNN,20,0.6630434782608695,0.7142857142857143,0.5,0.8260869565217391,0.6,0.5454545454545454,19,4,6,6,4
BW,Medium KNN,20,0.8159722222222223,0.75,0.6666666666666666,0.7916666666666666,0.6153846153846154,0.64,19,5,4,8,0
BW,Medium KNN,20,0.6197916666666667,0.5555555555555556,0.5,0.5833333333333334,0.375,0.42857142857142855,14,10,6,6,1
BW,Medium KNN,20,0.75,0.6944444444444444,0.5833333333333334,0.75,0.5384615384615384,0.56,18,6,5,7,2
BW,Medium KNN,20,0.7717391304347827,0.6571428571428571,0.4166666666666667,0.782608695652174,0.5,0.45454545454545453,18,5,7,5,3
BW,Medium KNN,20,0.7228260869565217,0.7428571428571429,0.5833333333333334,0.8260869565217391,0.6363636363636364,0.6086956521739131,19,4,5,7,4
BW,Coarse KNN,20,0.7239583333333334,0.6666666666666666,0.0,1.0,0.0,0.0,24,0,12,0,0
BW,Coarse KNN,20,0.671875,0.6666666666666666,0.0,1.0,0.0,0.0,24,0,12,0,1
BW,Coarse KNN,20,0.6788194444444444,0.6666666666666666,0.0,1.0,0.0,0.0,24,0,12,0,2
BW,Coarse KNN,20,0.8043478260869564,0.6571428571428571,0.0,1.0,0.0,0.0,23,0,12,0,3
BW,Coarse KNN,20,0.7318840579710144,0.6571428571428571,0.0,1.0,0.0,0.0,23,0,12,0,4
BW,Cosine KNN,20,0.814236111111111,0.75,0.6666666666666666,0.7916666666666666,0.6153846153846154,0.64,19,5,4,8,0
BW,Cosine KNN,20,0.5486111111111112,0.6111111111111112,0.5,0.6666666666666666,0.42857142857142855,0.46153846153846156,16,8,6,6,1
BW,Cosine KNN,20,0.7065972222222222,0.6944444444444444,0.5833333333333334,0.75,0.5384615384615384,0.56,18,6,5,7,2
BW,Cosine KNN,20,0.782608695652174,0.7428571428571429,0.5833333333333334,0.8260869565217391,0.6363636363636364,0.6086956521739131,19,4,5,7,3
BW,Cosine KNN,20,0.733695652173913,0.6857142857142857,0.5,0.782608695652174,0.5454545454545454,0.5217391304347826,18,5,6,6,4
BW,Weighted KNN,20,0.8333333333333333,0.7222222222222222,0.5,0.8333333333333334,0.6,0.5454545454545454,20,4,6,6,0
BW,Weighted KNN,20,0.6041666666666667,0.5833333333333334,0.4166666666666667,0.6666666666666666,0.38461538461538464,0.4,16,8,7,5,1
BW,Weighted KNN,20,0.7430555555555556,0.7222222222222222,0.5,0.8333333333333334,0.6,0.5454545454545454,20,4,6,6,2
BW,Weighted KNN,20,0.8333333333333334,0.7714285714285715,0.5833333333333334,0.8695652173913043,0.7,0.6363636363636364,20,3,5,7,3
BW,Weighted KNN,20,0.7536231884057971,0.7142857142857143,0.4166666666666667,0.8695652173913043,0.625,0.5,20,3,7,5,4
BW,Boosted Trees,20,0.7725694444444444,0.6944444444444444,0.25,0.9166666666666666,0.6,0.35294117647058826,22,2,9,3,0
BW,Boosted Trees,20,0.5329861111111112,0.5833333333333334,0.25,0.75,0.3333333333333333,0.2857142857142857,18,6,9,3,1
BW,Boosted Trees,20,0.6631944444444444,0.6388888888888888,0.4166666666666667,0.75,0.45454545454545453,0.43478260869565216,18,6,7,5,2
BW,Boosted Trees,20,0.7065217391304348,0.7142857142857143,0.5833333333333334,0.782608695652174,0.5833333333333334,0.5833333333333334,18,5,5,7,3
