k,dataset,model,auc_mean,auc_std,accuracy_mean,accuracy_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,precision_mean,precision_std,f1_mean,f1_std
5,Doppler,Medium KNN,0.80949577294686,0.06412442854912873,0.741904761904762,0.07014256798684643,0.6333333333333334,0.06666666666666665,0.7971014492753624,0.1025368720213541,0.6407342657342657,0.14099208793860152,0.6279613526570047,0.07383837709971562
5,Doppler,Coarse KNN,0.7960295893719807,0.07529309421303883,0.6628571428571428,0.004665694748158418,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
5,Doppler,Cosine KNN,0.7980676328502414,0.07185396280706213,0.7590476190476191,0.08933081753206645,0.6833333333333333,0.08164965809277261,0.7974637681159421,0.12421460888768927,0.6652287581699345,0.16332463681284146,0.6640207812621606,0.09781993056536432
5,Doppler,Weighted KNN,0.8209842995169083,0.07379812610685005,0.7479365079365079,0.07877654803322015,0.5833333333333334,0.09128709291752769,0.8315217391304348,0.10442705325630824,0.6692918192918192,0.15836174019028848,0.6133414304993252,0.09511959605782716
5,Doppler,Boosted Trees,0.7695350241545895,0.0780238659621711,0.7531746031746033,0.046483822775169874,0.5666666666666667,0.062360956446232345,0.8481884057971015,0.05521529913492387,0.6610256410256411,0.08900649681906728,0.608103896103896,0.0672068875025374
5,Doppler,Bagged Trees,0.8007548309178745,0.06611016887574082,0.7531746031746032,0.04933163773107003,0.6,0.06236095644623234,0.8311594202898551,0.09032863754050752,0.6712420912420912,0.12261732745192479,0.6232374700475387,0.04565928592131816
5,Doppler,Subspace Discriminant,0.8030495169082126,0.08449692602177718,0.7536507936507937,0.07761012056302326,0.4833333333333333,0.09718253158075499,0.8909420289855072,0.08523661421758037,0.7178932178932179,0.1775736257763343,0.5720024699429734,0.1165263632103868
5,Doppler,Subspace KNN,0.805163043478261,0.06596815257349,0.7706349206349207,0.08526631911315911,0.5333333333333334,0.1247219128924647,0.8909420289855072,0.08523661421758037,0.7325757575757575,0.17512556167156335,0.6107949055775143,0.13361733233076187
5,Doppler,RUSBoosted Trees,0.7695350241545895,0.0780238659621711,0.7531746031746033,0.046483822775169874,0.5666666666666667,0.062360956446232345,0.8481884057971015,0.05521529913492387,0.6610256410256411,0.08900649681906728,0.608103896103896,0.0672068875025374
5,BW+Doppler,Simple Tree,0.711262077294686,0.0968418285771132,0.703015873015873,0.07544676708543073,0.5666666666666667,0.16158932858054434,0.7717391304347826,0.09306023823045213,0.5658333333333333,0.12299503151663392,0.5571428571428572,0.11990326116970171
5,BW+Doppler,Medium Tree,0.7144927536231884,0.06078809679217803,0.7195238095238096,0.05644101619742359,0.7000000000000001,0.09999999999999999,0.7289855072463768,0.06683383263456526,0.5722727272727273,0.07199417446588852,0.6265010351966873,0.0719812387533964
5,BW+Doppler,Complex Tree,0.7144927536231884,0.06078809679217803,0.7195238095238096,0.05644101619742359,0.7000000000000001,0.09999999999999999,0.7289855072463768,0.06683383263456526,0.5722727272727273,0.07199417446588852,0.6265010351966873,0.0719812387533964
