dataset,model,auc_mean,auc_std,accuracy_mean,accuracy_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,precision_mean,precision_std,f1_mean,f1_std,error
BW+Doppler,Fine KNN,0.6780632411067193,0.06385693245323865,0.7078991596638655,0.06540082992195598,0.5909090909090909,0.08131156281817419,0.7652173913043478,0.07580693814853345,0.56007326007326,0.09390729836765913,0.5717971014492754,0.07726590285340172,
BW+Doppler,Medium KNN,0.776185770750988,0.07745800296773589,0.7489075630252101,0.06412904510075693,0.556060606060606,0.16231226352535855,0.8434782608695652,0.034782608695652154,0.625128205128205,0.09893818626589643,0.5837343358395989,0.12597176368415142,
BW+Doppler,Coarse KNN,0.7659420289855073,0.07430631474000662,0.6726050420168068,0.0077310924369748055,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,
BW+Doppler,Cosine KNN,0.7489459815546772,0.07661608983854228,0.7368067226890757,0.058901269158731055,0.553030303030303,0.12945460220178076,0.826086956521739,0.027498066610159803,0.6,0.09488499851165559,0.5744664031620553,0.1134340801402656,
BW+Doppler,Weighted KNN,0.7866271409749671,0.07131816928016492,0.760672268907563,0.07097811496637883,0.5212121212121212,0.1995403349473252,0.8782608695652174,0.017391304347826077,0.6531746031746032,0.10509806576029745,0.5713205007403419,0.1626613600628137,
BW+Doppler,Boosted Trees,0.7040184453227931,0.05331639943218819,0.6843697478991597,0.08531559939776687,0.5,0.12196734422726124,0.7739130434782607,0.09683068457095693,0.5405194805194805,0.17967080709052308,0.5115670995670996,0.12545379377700772,
BW+Doppler,Bagged Trees,0.7383728590250329,0.09580234168097529,0.7603361344537815,0.062310570214942344,0.5363636363636364,0.15320272314866107,0.8695652173913043,0.027498066610159803,0.6545021645021645,0.11634269807497014,0.5860560492139439,0.13608474587027275,
BW+Doppler,Subspace Discriminant,0.7258893280632412,0.05135146468877323,0.678655462184874,0.038628415821288474,0.556060606060606,0.09907747105619283,0.7391304347826088,0.07275304578557178,0.5141176470588235,0.052916431315207416,0.5289666854884246,0.0505979266666348,
BW+Doppler,Subspace KNN,0.7843214756258234,0.07750978176320415,0.7663865546218488,0.054108773216824335,0.5196969696969697,0.1260037750684351,0.8869565217391304,0.02129991080681023,0.6826190476190476,0.08277226084584668,0.5875856307435254,0.11012477458624119,
BW+Doppler,RUSBoosted Trees,0.7040184453227931,0.05331639943218819,0.6843697478991597,0.08531559939776687,0.5,0.12196734422726124,0.7739130434782607,0.09683068457095693,0.5405194805194805,0.17967080709052308,0.5115670995670996,0.12545379377700772,
