dataset,model,auc,accuracy,sensitivity,specificity,precision,f1,tn,fp,fn,tp,fold
BW,Boosted Trees,0.7318840579710145,0.7428571428571429,0.5,0.8695652173913043,0.6666666666666666,0.5714285714285714,20,3,6,6,0
BW,Boosted Trees,0.683794466403162,0.7647058823529411,0.6363636363636364,0.8260869565217391,0.6363636363636364,0.6363636363636364,19,4,4,7,1
BW,Boosted Trees,0.6205533596837944,0.6470588235294118,0.36363636363636365,0.782608695652174,0.4444444444444444,0.4,18,5,7,4,2
BW,Boosted Trees,0.8300395256916996,0.8235294117647058,0.6363636363636364,0.9130434782608695,0.7777777777777778,0.7,21,2,4,7,3
BW,Boosted Trees,0.7549407114624506,0.7647058823529411,0.5454545454545454,0.8695652173913043,0.6666666666666666,0.6,20,3,5,6,4
BW,Bagged Trees,0.7155797101449275,0.6857142857142857,0.4166666666666667,0.8260869565217391,0.5555555555555556,0.47619047619047616,19,4,7,5,0
BW,Bagged Trees,0.7509881422924901,0.7647058823529411,0.6363636363636364,0.8260869565217391,0.6363636363636364,0.6363636363636364,19,4,4,7,1
BW,Bagged Trees,0.6284584980237153,0.6470588235294118,0.2727272727272727,0.8260869565217391,0.42857142857142855,0.3333333333333333,19,4,8,3,2
BW,Bagged Trees,0.8418972332015809,0.7941176470588235,0.5454545454545454,0.9130434782608695,0.75,0.631578947368421,21,2,5,6,3
BW,Bagged Trees,0.8221343873517787,0.7647058823529411,0.5454545454545454,0.8695652173913043,0.6666666666666666,0.6,20,3,5,6,4
BW,Subspace Discriminant,0.7898550724637681,0.6857142857142857,0.75,0.6521739130434783,0.5294117647058824,0.6206896551724138,15,8,3,9,0
BW,Subspace Discriminant,0.5533596837944663,0.5882352941176471,0.2727272727272727,0.7391304347826086,0.3333333333333333,0.3,17,6,8,3,1
BW,Subspace Discriminant,0.37944664031620556,0.5882352941176471,0.2727272727272727,0.7391304347826086,0.3333333333333333,0.3,17,6,8,3,2
BW,Subspace Discriminant,0.6837944664031621,0.7058823529411765,0.5454545454545454,0.782608695652174,0.5454545454545454,0.5454545454545454,18,5,5,6,3
BW,Subspace Discriminant,0.5968379446640316,0.5,0.36363636363636365,0.5652173913043478,0.2857142857142857,0.32,13,10,7,4,4
BW,Subspace KNN,0.6884057971014492,0.6857142857142857,0.4166666666666667,0.8260869565217391,0.5555555555555556,0.47619047619047616,19,4,7,5,0
BW,Subspace KNN,0.7154150197628458,0.7058823529411765,0.45454545454545453,0.8260869565217391,0.5555555555555556,0.5,19,4,6,5,1
BW,Subspace KNN,0.650197628458498,0.7647058823529411,0.45454545454545453,0.9130434782608695,0.7142857142857143,0.5555555555555556,21,2,6,5,2
BW,Subspace KNN,0.8300395256916996,0.8235294117647058,0.6363636363636364,0.9130434782608695,0.7777777777777778,0.7,21,2,4,7,3
BW,Subspace KNN,0.7588932806324111,0.7941176470588235,0.45454545454545453,0.9565217391304348,0.8333333333333334,0.5882352941176471,22,1,6,5,4
BW,RUSBoosted Trees,0.7318840579710145,0.7428571428571429,0.5,0.8695652173913043,0.6666666666666666,0.5714285714285714,20,3,6,6,0
BW,RUSBoosted Trees,0.683794466403162,0.7647058823529411,0.6363636363636364,0.8260869565217391,0.6363636363636364,0.6363636363636364,19,4,4,7,1
BW,RUSBoosted Trees,0.6205533596837944,0.6470588235294118,0.36363636363636365,0.782608695652174,0.4444444444444444,0.4,18,5,7,4,2
BW,RUSBoosted Trees,0.8300395256916996,0.8235294117647058,0.6363636363636364,0.9130434782608695,0.7777777777777778,0.7,21,2,4,7,3
BW,RUSBoosted Trees,0.7549407114624506,0.7647058823529411,0.5454545454545454,0.8695652173913043,0.6666666666666666,0.6,20,3,5,6,4
Doppler,Simple Tree,0.4909420289855073,0.5714285714285714,0.4166666666666667,0.6521739130434783,0.38461538461538464,0.4,15,8,7,5,0
Doppler,Simple Tree,0.7173913043478262,0.7352941176470589,0.7272727272727273,0.7391304347826086,0.5714285714285714,0.64,17,6,3,8,1
Doppler,Simple Tree,0.40711462450592883,0.5294117647058824,0.2727272727272727,0.6521739130434783,0.2727272727272727,0.2727272727272727,15,8,8,3,2
Doppler,Simple Tree,0.6462450592885375,0.7058823529411765,0.6363636363636364,0.7391304347826086,0.5384615384615384,0.5833333333333334,17,6,4,7,3
Doppler,Simple Tree,0.6936758893280632,0.7352941176470589,0.5454545454545454,0.8260869565217391,0.6,0.5714285714285714,19,4,5,6,4
Doppler,Medium Tree,0.5561594202898551,0.6,0.4166666666666667,0.6956521739130435,0.4166666666666667,0.4166666666666667,16,7,7,5,0
Doppler,Medium Tree,0.7569169960474309,0.7352941176470589,0.8181818181818182,0.6956521739130435,0.5625,0.6666666666666666,16,7,2,9,1
Doppler,Medium Tree,0.4624505928853755,0.5294117647058824,0.2727272727272727,0.6521739130434783,0.2727272727272727,0.2727272727272727,15,8,8,3,2
Doppler,Medium Tree,0.5770750988142292,0.5882352941176471,0.5454545454545454,0.6086956521739131,0.4,0.46153846153846156,14,9,5,6,3
Doppler,Medium Tree,0.5533596837944664,0.5882352941176471,0.45454545454545453,0.6521739130434783,0.38461538461538464,0.4166666666666667,15,8,6,5,4
Doppler,Complex Tree,0.5561594202898551,0.6,0.4166666666666667,0.6956521739130435,0.4166666666666667,0.4166666666666667,16,7,7,5,0
Doppler,Complex Tree,0.7569169960474309,0.7352941176470589,0.8181818181818182,0.6956521739130435,0.5625,0.6666666666666666,16,7,2,9,1
Doppler,Complex Tree,0.4624505928853755,0.5294117647058824,0.2727272727272727,0.6521739130434783,0.2727272727272727,0.2727272727272727,15,8,8,3,2
Doppler,Complex Tree,0.5770750988142292,0.5882352941176471,0.5454545454545454,0.6086956521739131,0.4,0.46153846153846156,14,9,5,6,3
Doppler,Complex Tree,0.5533596837944664,0.5882352941176471,0.45454545454545453,0.6521739130434783,0.38461538461538464,0.4166666666666667,15,8,6,5,4
Doppler,Linear Discriminant Analysis,0.7318840579710145,0.8,0.75,0.8260869565217391,0.6923076923076923,0.72,19,4,3,9,0
Doppler,Linear Discriminant Analysis,0.8181818181818182,0.7647058823529411,0.8181818181818182,0.7391304347826086,0.6,0.6923076923076923,17,6,2,9,1
Doppler,Linear Discriminant Analysis,0.6383399209486166,0.5588235294117647,0.5454545454545454,0.5652173913043478,0.375,0.4444444444444444,13,10,5,6,2
Doppler,Linear Discriminant Analysis,0.6304347826086957,0.6764705882352942,0.6363636363636364,0.6956521739130435,0.5,0.56,16,7,4,7,3
